epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5857142806053162,0.0004441264900378883,1.9487106800079346,0.8103571534156799,1.0149593353271484
1,0.8052777647972107,0.0004441264900378883,0.9824788570404053,0.8539285659790039,0.8220763206481934
2,0.8447222113609314,0.0004441264900378883,0.8144059777259827,0.8657143115997314,0.7430741786956787
3,0.860198438167572,0.0004441264900378883,0.7398061752319336,0.8757143020629883,0.703902006149292
4,0.8681746125221252,0.0004441264900378883,0.6969980001449585,0.8767856955528259,0.6806952953338623
5,0.8751587271690369,0.0004441264900378883,0.6672452688217163,0.8717857003211975,0.667741060256958
6,0.8786507844924927,0.0004441264900378883,0.6408191919326782,0.8767856955528259,0.6541955471038818
7,0.8829761743545532,0.0004441264900378883,0.6242033243179321,0.8821428418159485,0.6495317220687866
8,0.8871825337409973,0.0004441264900378883,0.608786404132843,0.8860714435577393,0.6209670901298523
9,0.8876984119415283,0.0004441264900378883,0.6008802652359009,0.8828571438789368,0.6138185858726501
10,0.8888095021247864,0.0004441264900378883,0.5920191407203674,0.8849999904632568,0.6115209460258484
11,0.892896831035614,0.0004441264900378883,0.5807257294654846,0.8817856907844543,0.6085085272789001
12,0.8943650722503662,0.0004441264900378883,0.575869619846344,0.8899999856948853,0.5873724222183228
13,0.8955555558204651,0.0004441264900378883,0.5667913556098938,0.891785740852356,0.5816914439201355
14,0.8985714316368103,0.0004441264900378883,0.5617237687110901,0.8932142853736877,0.5814512968063354
15,0.8997222185134888,0.0004441264900378883,0.5523192882537842,0.8910714387893677,0.5813161730766296
16,0.8993650674819946,0.0004441264900378883,0.5565773248672485,0.8942857384681702,0.5818057656288147
17,0.8995634913444519,0.0004441264900378883,0.5450686812400818,0.8864285945892334,0.5930243134498596
18,0.9015873074531555,0.0004441264900378883,0.5434224605560303,0.8989285826683044,0.5613933205604553
19,0.9023809432983398,0.0004441264900378883,0.5360931158065796,0.8824999928474426,0.6004185676574707
20,0.9073809385299683,0.0004441264900378883,0.5315337181091309,0.8771428465843201,0.6215728521347046
21,0.9047222137451172,0.0004441264900378883,0.5343196988105774,0.8982142806053162,0.57526695728302
22,0.908134937286377,0.0004441264900378883,0.5274076461791992,0.8924999833106995,0.5756530165672302
23,0.9078968167304993,0.0004441264900378883,0.5230298042297363,0.8892857432365417,0.590607762336731
24,0.9283730387687683,0.00022206324501894414,0.4488144516944885,0.908214271068573,0.5054399967193604
25,0.931071400642395,0.00022206324501894414,0.42190444469451904,0.9078571200370789,0.4904337525367737
26,0.9327380657196045,0.00022206324501894414,0.41262152791023254,0.9057142734527588,0.4867803156375885
27,0.9345635175704956,0.00022206324501894414,0.40609851479530334,0.904285728931427,0.4899919033050537
28,0.9319841265678406,0.00022206324501894414,0.40741977095603943,0.9035714268684387,0.49387529492378235
29,0.933134913444519,0.00022206324501894414,0.40523746609687805,0.9089285731315613,0.48137903213500977
30,0.9338095188140869,0.00022206324501894414,0.4007454812526703,0.9103571176528931,0.46951502561569214
31,0.936468243598938,0.00022206324501894414,0.3955081105232239,0.9024999737739563,0.4956982433795929
32,0.9364285469055176,0.00022206324501894414,0.3971729278564453,0.9014285802841187,0.4981188178062439
33,0.9352381229400635,0.00022206324501894414,0.3988719582557678,0.9078571200370789,0.4814200699329376
34,0.9347222447395325,0.00022206324501894414,0.3954179584980011,0.9075000286102295,0.47421348094940186
35,0.9365476369857788,0.00022206324501894414,0.39147403836250305,0.8996428847312927,0.5020401477813721
36,0.9462698698043823,0.00011103162250947207,0.3531229794025421,0.9182142615318298,0.454019159078598
37,0.9498809576034546,0.00011103162250947207,0.3426022529602051,0.9175000190734863,0.4526444673538208
38,0.9485317468643188,0.00011103162250947207,0.3403948247432709,0.9157142639160156,0.45606306195259094
39,0.9507539868354797,0.00011103162250947207,0.3333994150161743,0.916785717010498,0.4419376850128174
40,0.9512698650360107,0.00011103162250947207,0.3268614113330841,0.9135714173316956,0.44918859004974365
41,0.9529365301132202,0.00011103162250947207,0.32678136229515076,0.9182142615318298,0.43838968873023987
42,0.9534127116203308,0.00011103162250947207,0.3239957094192505,0.9189285635948181,0.4397585690021515
43,0.9526984095573425,0.00011103162250947207,0.32302364706993103,0.9164285659790039,0.43787458539009094
44,0.9530158638954163,0.00011103162250947207,0.3211219310760498,0.9117857217788696,0.44623610377311707
45,0.9525793790817261,0.00011103162250947207,0.322084903717041,0.9203571677207947,0.4356657564640045
46,0.953849196434021,0.00011103162250947207,0.32076841592788696,0.9150000214576721,0.44810542464256287
47,0.9530555605888367,0.00011103162250947207,0.31940537691116333,0.9139285683631897,0.4485744833946228
48,0.9526190757751465,0.00011103162250947207,0.3195350170135498,0.9192857146263123,0.4388447403907776
49,0.9553174376487732,0.00011103162250947207,0.31648582220077515,0.9182142615318298,0.4431677758693695
50,0.9546428322792053,0.00011103162250947207,0.31539061665534973,0.9214285612106323,0.43625572323799133
51,0.960277795791626,5.5515811254736036e-05,0.2971883714199066,0.9253571629524231,0.4246010482311249
52,0.9625396728515625,5.5515811254736036e-05,0.2900199890136719,0.9275000095367432,0.4208713173866272
53,0.962936520576477,5.5515811254736036e-05,0.2869396507740021,0.9239285588264465,0.42936092615127563
